77 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
78 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
79 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
80 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
81 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
82 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
83 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
84 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
85 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
86 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
87 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
88 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
89 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
90 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
91 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
92 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
93 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
94 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
95 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
96 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
97 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
98 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
99 Accuracy: 1.000000	classID:1	acc:1.000000		classID:2	acc:1.000000		classID:3	acc:1.000000		classID:4	acc:1.000000	
